"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment"
"1","B",2,494,217,148,0.4393,"MILT",0,"THP-1",217,0,0,"EXP 1"
"2","C",2,276,115,75,0.4167,"MILT",1.25,"THP-1",115,0,0,"EXP 1"
"3","D",2,396,178,115,0.4495,"MILT",2.5,"THP-1",178,0,0,"EXP 1"
"4","E",2,430,225,146,0.5233,"MILT",5,"THP-1",225,0,0,"EXP 1"
"5","F",2,271,233,120,0.8598,"MILT",10,"THP-1",233,0,0,"EXP 1"
"6","G",2,155,69,41,0.4452,"MILT",20,"THP-1",69,0,0,"EXP 1"
"7","G",3,300,684,163,2.28,"MILT",20,"REF",69,615,3.77300613496933,"EXP 1"
"8","F",3,715,1659,423,2.32,"MILT",10,"REF",233,1426,3.37115839243499,"EXP 1"
"9","E",3,726,1128,382,1.554,"MILT",5,"REF",225,903,2.36387434554974,"EXP 1"
"10","D",3,695,1620,387,2.331,"MILT",2.5,"REF",178,1442,3.72609819121447,"EXP 1"
"11","C",3,659,6954,497,10.55,"MILT",1.25,"REF",115,6839,13.7605633802817,"EXP 1"
"12","B",3,858,6064,551,7.068,"MILT",0,"REF",217,5847,10.6116152450091,"EXP 1"
"13","B",4,662,14725,560,22.24,"MILT",0,"C6",217,14508,25.9071428571429,"EXP 1"
"14","C",4,609,14731,533,24.19,"MILT",1.25,"C6",115,14616,27.422138836773,"EXP 1"
"15","D",4,765,19289,634,25.21,"MILT",2.5,"C6",178,19111,30.1435331230284,"EXP 1"
"16","E",4,868,12278,711,14.15,"MILT",5,"C6",225,12053,16.9521800281294,"EXP 1"
"17","F",4,717,10860,601,15.15,"MILT",10,"C6",233,10627,17.6821963394343,"EXP 1"
"18","G",4,387,3662,307,9.463,"MILT",20,"C6",69,3593,11.7035830618893,"EXP 1"
"19","G",5,495,10006,445,20.21,"MILT",20,"C7",69,9937,22.3303370786517,"EXP 1"
"20","F",5,732,8895,601,12.15,"MILT",10,"C7",233,8662,14.4126455906822,"EXP 1"
"21","E",5,713,6498,553,9.114,"MILT",5,"C7",225,6273,11.3435804701627,"EXP 1"
"22","D",5,766,12168,620,15.89,"MILT",2.5,"C7",178,11990,19.3387096774194,"EXP 1"
"23","C",5,761,19649,630,25.82,"MILT",1.25,"C7",115,19534,31.0063492063492,"EXP 1"
"24","B",5,845,18715,655,22.15,"MILT",0,"C7",217,18498,28.2412213740458,"EXP 1"
"25","B",6,788,11338,565,14.39,"MILT",0,"C44",217,11121,19.683185840708,"EXP 1"
"26","C",6,663,15138,556,22.83,"MILT",1.25,"C44",115,15023,27.0197841726619,"EXP 1"
"27","D",6,697,4516,524,6.479,"MILT",2.5,"C44",178,4338,8.27862595419847,"EXP 1"
"28","E",6,781,2177,509,2.787,"MILT",5,"C44",225,1952,3.83497053045187,"EXP 1"
"29","F",6,729,2950,550,4.047,"MILT",10,"C44",233,2717,4.94,"EXP 1"
"30","G",6,411,2658,298,6.467,"MILT",20,"C44",69,2589,8.68791946308725,"EXP 1"
"31","G",7,418,2570,316,6.148,"MILT",20,"C58",69,2501,7.91455696202532,"EXP 1"
"32","F",7,675,3322,531,4.921,"MILT",10,"C58",233,3089,5.81732580037665,"EXP 1"
"33","E",7,896,2848,587,3.179,"MILT",5,"C58",225,2623,4.46848381601363,"EXP 1"
"34","D",7,738,9328,576,12.64,"MILT",2.5,"C58",178,9150,15.8854166666667,"EXP 1"
"35","C",7,664,14803,562,22.29,"MILT",1.25,"C58",115,14688,26.135231316726,"EXP 1"
"36","B",7,601,11684,466,19.44,"MILT",0,"C58",217,11467,24.6072961373391,"EXP 1"
"37","B",8,865,18227,624,21.07,"MILT",0,"C67",217,18010,28.8621794871795,"EXP 1"
"38","C",8,635,14404,502,22.68,"MILT",1.25,"C67",115,14289,28.4641434262948,"EXP 1"
"39","D",8,553,11758,461,21.26,"MILT",2.5,"C67",178,11580,25.119305856833,"EXP 1"
"40","E",8,715,6376,503,8.917,"MILT",5,"C67",225,6151,12.2286282306163,"EXP 1"
"41","F",8,748,3250,546,4.345,"MILT",10,"C67",233,3017,5.52564102564103,"EXP 1"
"42","G",8,514,2840,411,5.525,"MILT",20,"C67",69,2771,6.74209245742092,"EXP 1"
"43","G",9,514,890,272,1.732,"MILT",20,"C73",69,821,3.01838235294118,"EXP 1"
"44","F",9,767,2187,439,2.851,"MILT",10,"C73",233,1954,4.45102505694761,"EXP 1"
"45","E",9,648,2315,363,3.573,"MILT",5,"C73",225,2090,5.75757575757576,"EXP 1"
"46","D",9,793,4852,541,6.119,"MILT",2.5,"C73",178,4674,8.63955637707948,"EXP 1"
"47","C",9,508,8448,410,16.63,"MILT",1.25,"C73",115,8333,20.3243902439024,"EXP 1"
"48","B",9,569,5341,381,9.387,"MILT",0,"C73",217,5124,13.4488188976378,"EXP 1"
"49","B",10,670,7206,424,10.76,"MILT",0,"C89",217,6989,16.4834905660377,"EXP 1"
"50","C",10,600,11949,462,19.92,"MILT",1.25,"C89",115,11834,25.6147186147186,"EXP 1"
"51","D",10,708,8680,518,12.26,"MILT",2.5,"C89",178,8502,16.4131274131274,"EXP 1"
"52","E",10,673,1539,336,2.287,"MILT",5,"C89",225,1314,3.91071428571429,"EXP 1"
"53","F",10,539,1559,320,2.892,"MILT",10,"C89",233,1326,4.14375,"EXP 1"
"54","G",10,375,747,209,1.992,"MILT",20,"C89",69,678,3.24401913875598,"EXP 1"
"55","G",11,457,1587,321,3.473,"MILT",20,"C85",69,1518,4.72897196261682,"EXP 1"
"56","F",11,491,2275,361,4.633,"MILT",10,"C85",233,2042,5.65650969529086,"EXP 1"
"57","E",11,548,2539,417,4.633,"MILT",5,"C85",225,2314,5.54916067146283,"EXP 1"
"58","D",11,625,6328,491,10.12,"MILT",2.5,"C85",178,6150,12.5254582484725,"EXP 1"
"59","C",11,438,10695,374,24.42,"MILT",1.25,"C85",115,10580,28.2887700534759,"EXP 1"
"60","B",11,683,10852,482,15.89,"MILT",0,"C85",217,10635,22.0643153526971,"EXP 1"
"61","B",2,114,153,60,1.342,"MILT",0,"THP-1",153,0,0,"EXP 2"
"62","C",2,142,158,70,1.113,"MILT",1.25,"THP-1",158,0,0,"EXP 2"
"63","D",2,130,234,76,1.8,"MILT",2.5,"THP-1",234,0,0,"EXP 2"
"64","E",2,89,34,22,0.382,"MILT",5,"THP-1",34,0,0,"EXP 2"
"65","F",2,80,105,37,1.313,"MILT",10,"THP-1",105,0,0,"EXP 2"
"66","G",2,60,62,28,1.033,"MILT",20,"THP-1",62,0,0,"EXP 2"
"67","G",3,88,585,61,6.648,"MILT",20,"C76",62,523,8.57377049180328,"EXP 2"
"68","F",3,201,1745,157,8.682,"MILT",10,"C76",105,1640,10.4458598726115,"EXP 2"
"69","E",3,214,1250,169,5.841,"MILT",5,"C76",34,1216,7.19526627218935,"EXP 2"
"70","D",3,213,1798,175,8.441,"MILT",2.5,"C76",234,1564,8.93714285714286,"EXP 2"
"71","C",3,241,3506,197,14.55,"MILT",1.25,"C76",158,3348,16.994923857868,"EXP 2"
"72","B",3,393,8169,314,20.79,"MILT",0,"C76",153,8016,25.5286624203822,"EXP 2"
"73","B",4,342,6455,262,18.87,"MILT",0,"C44",153,6302,24.0534351145038,"EXP 2"
"74","C",4,179,1515,148,8.464,"MILT",1.25,"C44",158,1357,9.16891891891892,"EXP 2"
"75","D",4,286,2447,232,8.556,"MILT",2.5,"C44",234,2213,9.53879310344828,"EXP 2"
"76","E",4,139,452,98,3.252,"MILT",5,"C44",34,418,4.26530612244898,"EXP 2"
"77","F",4,158,906,125,5.734,"MILT",10,"C44",105,801,6.408,"EXP 2"
"78","G",4,63,187,39,2.968,"MILT",20,"C44",62,125,3.20512820512821,"EXP 2"
"79","G",5,152,1257,135,8.27,"MILT",20,"C6",62,1195,8.85185185185185,"EXP 2"
"80","F",5,138,1975,126,14.31,"MILT",10,"C6",105,1870,14.8412698412698,"EXP 2"
"81","E",5,239,3887,206,16.26,"MILT",5,"C6",34,3853,18.7038834951456,"EXP 2"
"82","D",5,222,3734,192,16.82,"MILT",2.5,"C6",234,3500,18.2291666666667,"EXP 2"
"83","C",5,238,3311,214,13.91,"MILT",1.25,"C6",158,3153,14.7336448598131,"EXP 2"
"84","B",5,265,5750,236,21.7,"MILT",0,"C6",153,5597,23.7161016949153,"EXP 2"
"85","B",6,205,1162,142,5.668,"MILT",0,"C58",153,1009,7.1056338028169,"EXP 2"
"86","C",6,231,1188,168,5.143,"MILT",1.25,"C58",158,1030,6.13095238095238,"EXP 2"
"87","D",6,185,503,123,2.719,"MILT",2.5,"C58",234,269,2.1869918699187,"EXP 2"
"88","E",6,214,590,138,2.757,"MILT",5,"C58",34,556,4.02898550724638,"EXP 2"
"89","F",6,141,623,104,4.418,"MILT",10,"C58",105,518,4.98076923076923,"EXP 2"
"90","G",6,73,142,38,1.945,"MILT",20,"C58",62,80,2.10526315789474,"EXP 2"
"91","G",7,56,68,21,1.214,"MILT",20,"REF",62,6,0.285714285714286,"EXP 2"
"92","F",7,164,488,102,2.976,"MILT",10,"REF",105,383,3.75490196078431,"EXP 2"
"93","E",7,239,941,177,3.937,"MILT",5,"REF",34,907,5.12429378531073,"EXP 2"
"94","D",7,264,1329,180,5.034,"MILT",2.5,"REF",234,1095,6.08333333333333,"EXP 2"
"95","C",7,277,1895,213,6.841,"MILT",1.25,"REF",158,1737,8.15492957746479,"EXP 2"
"96","B",7,312,5404,235,17.32,"MILT",0,"REF",153,5251,22.3446808510638,"EXP 2"
"97","B",8,342,5328,243,15.58,"MILT",0,"C67",153,5175,21.2962962962963,"EXP 2"
"98","C",8,186,1223,142,6.575,"MILT",1.25,"C67",158,1065,7.5,"EXP 2"
"99","D",8,200,570,123,2.85,"MILT",2.5,"C67",234,336,2.73170731707317,"EXP 2"
"100","E",8,211,736,156,3.488,"MILT",5,"C67",34,702,4.5,"EXP 2"
"101","F",8,116,406,87,3.5,"MILT",10,"C67",105,301,3.45977011494253,"EXP 2"
"102","G",8,104,500,77,4.808,"MILT",20,"C67",62,438,5.68831168831169,"EXP 2"
"103","G",9,99,324,68,3.273,"MILT",20,"C7",62,262,3.85294117647059,"EXP 2"
"104","F",9,123,237,74,1.927,"MILT",10,"C7",105,132,1.78378378378378,"EXP 2"
"105","E",9,177,569,125,3.215,"MILT",5,"C7",34,535,4.28,"EXP 2"
"106","D",9,158,875,116,5.538,"MILT",2.5,"C7",234,641,5.52586206896552,"EXP 2"
"107","C",9,154,1071,114,6.955,"MILT",1.25,"C7",158,913,8.00877192982456,"EXP 2"
"108","B",9,233,2718,186,11.67,"MILT",0,"C7",153,2565,13.7903225806452,"EXP 2"
"109","B",10,344,7904,258,22.98,"MILT",0,"C73",153,7751,30.0426356589147,"EXP 2"
"110","C",10,259,1553,195,5.996,"MILT",1.25,"C73",158,1395,7.15384615384615,"EXP 2"
"111","D",10,151,620,105,4.106,"MILT",2.5,"C73",234,386,3.67619047619048,"EXP 2"
"112","E",10,161,480,118,2.981,"MILT",5,"C73",34,446,3.77966101694915,"EXP 2"
"113","F",10,112,394,81,3.518,"MILT",10,"C73",105,289,3.5679012345679,"EXP 2"
"114","G",10,55,98,37,1.782,"MILT",20,"C73",62,36,0.972972972972973,"EXP 2"
"115","G",11,84,531,58,6.321,"MILT",20,"C85",62,469,8.08620689655172,"EXP 2"
"116","F",11,113,704,77,6.23,"MILT",10,"C85",105,599,7.77922077922078,"EXP 2"
"117","E",11,121,224,68,1.851,"MILT",5,"C85",34,190,2.79411764705882,"EXP 2"
"118","D",11,91,250,55,2.747,"MILT",2.5,"C85",234,16,0.290909090909091,"EXP 2"
"119","C",11,148,647,119,4.372,"MILT",1.25,"C85",158,489,4.10924369747899,"EXP 2"
"120","B",11,214,3819,185,17.85,"MILT",0,"C85",153,3666,19.8162162162162,"EXP 2"
"121","B",2,1645,9300,1139,5.653,"MILT",0,"C7",779,8521,7.4811237928007,"EXP 3"
"122","C",2,1706,16058,1235,9.413,"MILT",1.25,"C7",752,15306,12.3935222672065,"EXP 3"
"123","D",2,1796,3382,875,1.883,"MILT",2.5,"C7",483,2899,3.31314285714286,"EXP 3"
"124","E",2,1547,2858,796,1.847,"MILT",5,"C7",723,2135,2.6821608040201,"EXP 3"
"125","F",2,1291,1586,520,1.229,"MILT",10,"C7",1340,246,0.473076923076923,"EXP 3"
"126","G",2,1380,1685,616,1.221,"MILT",20,"C7",1501,184,0.298701298701299,"EXP 3"
"127","G",3,1443,1530,634,1.06,"MILT",20,"C73",1501,29,0.0457413249211356,"EXP 3"
"128","F",3,1745,1714,615,0.9822,"MILT",10,"C73",1340,374,0.608130081300813,"EXP 3"
"129","E",3,1661,2870,876,1.728,"MILT",5,"C73",723,2147,2.45091324200913,"EXP 3"
"130","D",3,1940,2889,869,1.489,"MILT",2.5,"C73",483,2406,2.7686996547756,"EXP 3"
"131","C",3,2087,13946,1500,6.682,"MILT",1.25,"C73",752,13194,8.796,"EXP 3"
"132","B",3,1993,10117,1356,5.076,"MILT",0,"C73",779,9338,6.88643067846608,"EXP 3"
"133","B",4,1746,12617,1203,7.226,"MILT",0,"C76",779,11838,9.84039900249376,"EXP 3"
"134","C",4,1945,20027,1459,10.3,"MILT",1.25,"C76",752,19275,13.2111034955449,"EXP 3"
"135","D",4,1620,8445,1010,5.213,"MILT",2.5,"C76",483,7962,7.88316831683168,"EXP 3"
"136","E",4,1331,1237,463,0.9294,"MILT",5,"C76",723,514,1.11015118790497,"EXP 3"
"137","F",4,1385,2776,708,2.004,"MILT",10,"C76",1340,1436,2.02824858757062,"EXP 3"
"138","G",4,1500,3033,742,2.022,"MILT",20,"C76",1501,1532,2.06469002695418,"EXP 3"
"139","G",5,1447,2018,676,1.395,"MILT",20,"C44",1501,517,0.764792899408284,"EXP 3"
"140","F",5,1721,2795,856,1.624,"MILT",10,"C44",1340,1455,1.69976635514019,"EXP 3"
"141","E",5,1354,2812,777,2.077,"MILT",5,"C44",723,2089,2.68854568854569,"EXP 3"
"142","D",5,1628,2946,812,1.81,"MILT",2.5,"C44",483,2463,3.03325123152709,"EXP 3"
"143","C",5,2195,12213,1468,5.564,"MILT",1.25,"C44",752,11461,7.80722070844687,"EXP 3"
"144","B",5,1924,14650,1403,7.614,"MILT",0,"C44",779,13871,9.88667141838917,"EXP 3"
"145","B",6,1552,6140,964,3.956,"MILT",0,"REF",779,5361,5.56120331950207,"EXP 3"
"146","C",6,1911,3877,962,2.029,"MILT",1.25,"REF",752,3125,3.24844074844075,"EXP 3"
"147","D",6,1412,1161,532,0.8222,"MILT",2.5,"REF",483,678,1.27443609022556,"EXP 3"
"148","E",6,1211,848,419,0.7002,"MILT",5,"REF",723,125,0.298329355608592,"EXP 3"
"149","F",6,1504,1690,721,1.124,"MILT",10,"REF",1340,350,0.485436893203884,"EXP 3"
"150","G",6,1695,1915,821,1.13,"MILT",20,"REF",1501,414,0.504263093788063,"EXP 3"
"151","G",7,1149,1980,625,1.723,"MILT",20,"C85",1501,479,0.7664,"EXP 3"
"152","F",7,1400,3199,792,2.285,"MILT",10,"C85",1340,1859,2.34722222222222,"EXP 3"
"153","E",7,1166,2034,645,1.744,"MILT",5,"C85",723,1311,2.03255813953488,"EXP 3"
"154","D",7,1602,6883,925,4.297,"MILT",2.5,"C85",483,6400,6.91891891891892,"EXP 3"
"155","C",7,1987,16384,1352,8.246,"MILT",1.25,"C85",752,15632,11.5621301775148,"EXP 3"
"156","B",7,1647,14602,1210,8.866,"MILT",0,"C85",779,13823,11.4239669421488,"EXP 3"
"157","B",8,1103,779,373,0.7063,"MILT",0,"THP-1",779,0,0,"EXP 3"
"158","C",8,1244,752,401,0.6045,"MILT",1.25,"THP-1",752,0,0,"EXP 3"
"159","D",8,954,483,287,0.5063,"MILT",2.5,"THP-1",483,0,0,"EXP 3"
"160","E",8,994,723,329,0.7274,"MILT",5,"THP-1",723,0,0,"EXP 3"
"161","F",8,1216,1340,586,1.102,"MILT",10,"THP-1",1340,0,0,"EXP 3"
"162","G",8,1353,1501,651,1.109,"MILT",20,"THP-1",1501,0,0,"EXP 3"
"163","G",9,1499,4464,955,2.978,"MILT",20,"C6",1501,2963,3.10261780104712,"EXP 3"
"164","F",9,1325,6352,920,4.794,"MILT",10,"C6",1340,5012,5.44782608695652,"EXP 3"
"165","E",9,1090,7193,811,6.599,"MILT",5,"C6",723,6470,7.97780517879162,"EXP 3"
"166","D",9,1069,7208,748,6.743,"MILT",2.5,"C6",483,6725,8.99064171122995,"EXP 3"
"167","C",9,1242,11872,880,9.559,"MILT",1.25,"C6",752,11120,12.6363636363636,"EXP 3"
"168","B",9,1256,14880,1032,11.85,"MILT",0,"C6",779,14101,13.6637596899225,"EXP 3"
"169","B",10,1201,7794,865,6.49,"MILT",0,"C67",779,7015,8.10982658959538,"EXP 3"
"170","C",10,1609,8437,1118,5.244,"MILT",1.25,"C67",752,7685,6.87388193202147,"EXP 3"
"171","D",10,1408,2223,659,1.579,"MILT",2.5,"C67",483,1740,2.64036418816388,"EXP 3"
"172","E",10,1068,1448,505,1.356,"MILT",5,"C67",723,725,1.43564356435644,"EXP 3"
"173","F",10,1316,2299,694,1.747,"MILT",10,"C67",1340,959,1.38184438040346,"EXP 3"
"174","G",10,1263,2645,735,2.094,"MILT",20,"C67",1501,1144,1.55646258503401,"EXP 3"
"175","G",11,1218,1877,677,1.541,"MILT",20,"C58",1501,376,0.555391432791728,"EXP 3"
"176","F",11,1063,1979,625,1.862,"MILT",10,"C58",1340,639,1.0224,"EXP 3"
"177","E",11,805,1270,444,1.578,"MILT",5,"C58",723,547,1.23198198198198,"EXP 3"
"178","D",11,1054,1536,509,1.457,"MILT",2.5,"C58",483,1053,2.06876227897839,"EXP 3"
"179","C",11,1361,9572,994,7.033,"MILT",1.25,"C58",752,8820,8.87323943661972,"EXP 3"
"180","B",11,1233,7009,848,5.685,"MILT",0,"C58",779,6230,7.34669811320755,"EXP 3"
"181","B",2,1351,14955,1072,11.07,"MILT",0,"C67",562,14393,13.4263059701493,"EXP 4"
"182","C",2,1664,15252,1270,9.166,"MILT",1.25,"C67",753,14499,11.4165354330709,"EXP 4"
"183","D",2,1530,8541,1051,5.582,"MILT",2.5,"C67",333,8208,7.80970504281637,"EXP 4"
"184","E",2,1108,4635,725,4.183,"MILT",5,"C67",255,4380,6.04137931034483,"EXP 4"
"185","F",2,793,3590,627,4.527,"MILT",10,"C67",205,3385,5.39872408293461,"EXP 4"
"186","G",2,559,1518,374,2.716,"MILT",20,"C67",209,1309,3.5,"EXP 4"
"187","G",3,471,3039,359,6.452,"MILT",20,"C6",209,2830,7.88300835654596,"EXP 4"
"188","F",3,500,2380,379,4.76,"MILT",10,"C6",205,2175,5.73878627968338,"EXP 4"
"189","E",3,684,7085,586,10.36,"MILT",5,"C6",255,6830,11.6552901023891,"EXP 4"
"190","D",3,1292,11577,1017,8.961,"MILT",2.5,"C6",333,11244,11.0560471976401,"EXP 4"
"191","C",3,1509,17060,1261,11.31,"MILT",1.25,"C6",753,16307,12.9318001586043,"EXP 4"
"192","B",3,1623,20058,1360,12.36,"MILT",0,"C6",562,19496,14.3352941176471,"EXP 4"
"193","B",4,986,562,264,0.57,"MILT",0,"THP-1",562,0,0,"EXP 4"
"194","C",4,1084,753,315,0.6946,"MILT",1.25,"THP-1",753,0,0,"EXP 4"
"195","D",4,862,333,186,0.3863,"MILT",2.5,"THP-1",333,0,0,"EXP 4"
"196","E",4,511,255,158,0.499,"MILT",5,"THP-1",255,0,0,"EXP 4"
"197","F",4,533,205,103,0.3846,"MILT",10,"THP-1",205,0,0,"EXP 4"
"198","G",4,532,209,97,0.3929,"MILT",20,"THP-1",209,0,0,"EXP 4"
"199","G",5,287,827,197,2.882,"MILT",20,"REF",209,618,3.13705583756345,"EXP 4"
"200","F",5,449,2020,342,4.499,"MILT",10,"REF",205,1815,5.30701754385965,"EXP 4"
"201","E",5,589,3069,461,5.211,"MILT",5,"REF",255,2814,6.10412147505423,"EXP 4"
"202","D",5,959,6192,756,6.457,"MILT",2.5,"REF",333,5859,7.75,"EXP 4"
"203","C",5,1721,11979,1243,6.96,"MILT",1.25,"REF",753,11226,9.03137570394208,"EXP 4"
"204","B",5,1631,14683,1257,9.002,"MILT",0,"REF",562,14121,11.2338902147971,"EXP 4"
"205","B",6,1262,10167,945,8.056,"MILT",0,"C85",562,9605,10.1640211640212,"EXP 4"
"206","C",6,1113,7973,853,7.164,"MILT",1.25,"C85",753,7220,8.46424384525205,"EXP 4"
"207","D",6,1044,3950,663,3.784,"MILT",2.5,"C85",333,3617,5.45550527903469,"EXP 4"
"208","E",6,934,1768,482,1.893,"MILT",5,"C85",255,1513,3.13900414937759,"EXP 4"
"209","F",6,826,1921,506,2.326,"MILT",10,"C85",205,1716,3.39130434782609,"EXP 4"
"210","G",6,532,1128,342,2.12,"MILT",20,"C85",209,919,2.68713450292398,"EXP 4"
"211","G",7,431,1358,285,3.151,"MILT",20,"C73",209,1149,4.03157894736842,"EXP 4"
"212","F",7,413,1282,273,3.104,"MILT",10,"C73",205,1077,3.94505494505495,"EXP 4"
"213","E",7,822,3286,596,3.998,"MILT",5,"C73",255,3031,5.08557046979866,"EXP 4"
"214","D",7,1085,5080,780,4.682,"MILT",2.5,"C73",333,4747,6.08589743589744,"EXP 4"
"215","C",7,1444,12302,1127,8.519,"MILT",1.25,"C73",753,11549,10.2475598935226,"EXP 4"
"216","B",7,1621,14001,1269,8.637,"MILT",0,"C73",562,13439,10.5902285263987,"EXP 4"
"217","B",8,1746,12380,1229,7.09,"MILT",0,"C76",562,11818,9.61594792514239,"EXP 4"
"218","C",8,1855,12884,1368,6.946,"MILT",1.25,"C76",753,12131,8.86769005847953,"EXP 4"
"219","D",8,1408,5747,987,4.082,"MILT",2.5,"C76",333,5414,5.48530901722391,"EXP 4"
"220","E",8,740,3433,536,4.639,"MILT",5,"C76",255,3178,5.92910447761194,"EXP 4"
"221","F",8,914,4288,701,4.691,"MILT",10,"C76",205,4083,5.82453637660485,"EXP 4"
"222","G",8,838,3975,621,4.743,"MILT",20,"C76",209,3766,6.06441223832528,"EXP 4"
"223","G",9,374,980,242,2.62,"MILT",20,"C58",209,771,3.18595041322314,"EXP 4"
"224","F",9,579,2017,408,3.484,"MILT",10,"C58",205,1812,4.44117647058824,"EXP 4"
"225","E",9,679,2266,436,3.337,"MILT",5,"C58",255,2011,4.61238532110092,"EXP 4"
"226","D",9,945,4081,652,4.319,"MILT",2.5,"C58",333,3748,5.74846625766871,"EXP 4"
"227","C",9,1463,7578,1065,5.18,"MILT",1.25,"C58",753,6825,6.40845070422535,"EXP 4"
"228","B",9,1330,8972,977,6.746,"MILT",0,"C58",562,8410,8.60798362333674,"EXP 4"
"229","B",10,1205,7383,852,6.127,"MILT",0,"C7",562,6821,8.00586854460094,"EXP 4"
"230","C",10,1237,7948,917,6.425,"MILT",1.25,"C7",753,7195,7.84623773173391,"EXP 4"
"231","D",10,1077,3487,711,3.238,"MILT",2.5,"C7",333,3154,4.43600562587904,"EXP 4"
"232","E",10,948,2385,558,2.516,"MILT",5,"C7",255,2130,3.81720430107527,"EXP 4"
"233","F",10,799,2531,524,3.168,"MILT",10,"C7",205,2326,4.43893129770992,"EXP 4"
"234","G",10,891,2535,595,2.845,"MILT",20,"C7",209,2326,3.90924369747899,"EXP 4"
"235","G",11,347,973,225,2.804,"MILT",20,"C44",209,764,3.39555555555556,"EXP 4"
"236","F",11,374,1417,254,3.789,"MILT",10,"C44",205,1212,4.77165354330709,"EXP 4"
"237","E",11,678,2798,467,4.127,"MILT",5,"C44",255,2543,5.44539614561028,"EXP 4"
"238","D",11,1114,4758,748,4.271,"MILT",2.5,"C44",333,4425,5.91577540106952,"EXP 4"
"239","C",11,1319,11289,1043,8.559,"MILT",1.25,"C44",753,10536,10.1016299137105,"EXP 4"
"240","B",11,1408,12641,1117,8.978,"MILT",0,"C44",562,12079,10.8137869292748,"EXP 4"
